Family,Genus,Species,Taxon Name,Category,Criteria,IUCN Assessment completed,Notes,Endemic?,Information inputted into SIS,Assessment reviewed,Map completed,Submitted to IUCN
AMARANTHACEAE,Pleuropetalum,pleiogynum,Pleuropetalum pleiogynum,,,,,,,,,
ANACARDIACEAE,Amphipterygium,molle,Amphipterygium molle,x,,,Taxonomic Issue - not found in Costa Rica. Removed from working set,,,,,
ANACARDIACEAE,Tapirira,lepidota,Tapirira lepidota,,,,,,,,,
ANNONACEAE,Anaxagorea,phaeocarpa,Anaxagorea phaeocarpa,LC,,,1998 assessment,,,,,
ANNONACEAE,Annona,danforthii,Annona danforthii,LC,,,1998 assessment not published,,,,,
ANNONACEAE,Cymbopetalum,torulosum,Cymbopetalum torulosum,LC,,,1998 assessment,,,,,
ANNONACEAE,Mosannona,costaricensis,Mosannona costaricensis,NT,B2ab(iii),,,,,,,
ANNONACEAE,Unonopsis,panamensis,Unonopsis panamensis,LC,,,,,,,,
ANNONACEAE,Xylopia,macrantha,Xylopia macrantha,LC,,,,,,,,
APOCYNACEAE,Lacmellea,zamorae,Lacmellea zamorae,,,,,,,,,
APOCYNACEAE,Macoubea,mesoamericana,Macoubea mesoamericana,,,,,,,,,
APOCYNACEAE,Tabernaemontana,hannae,Tabernaemontana hannae,,,,,,,,,
APOCYNACEAE,Tabernaemontana,pauli,Tabernaemontana pauli,,,,,,,,,
AQUIFOLIACEAE,Ilex,pallida,Ilex pallida,DD,,,1998 assessment,,,,,
AQUIFOLIACEAE,Ilex,costaricensis,Ilex costaricensis,,,,1998 assessment,,,,,
AQUIFOLIACEAE,Ilex,haberi,Ilex haberi,,,,,,,,,
AQUIFOLIACEAE,Ilex,hemiepiphytica,Ilex hemiepiphytica,,,,,,,,,
AQUIFOLIACEAE,Ilex,vulcanicola,Ilex vulcanicola,,,,1998 assessment,,,,,
ARALIACEAE,Dendropanax,alberti-smithii,Dendropanax alberti-smithii,,,,1998 assessment,,,,,
ARALIACEAE,Dendropanax,latilobus,Dendropanax latilobus,,,,,,,,,
ARALIACEAE,Dendropanax,praestans,Dendropanax praestans,,,,,,,,,
ARALIACEAE,Dendropanax,ravenii,Dendropanax ravenii,,,,,,,,,
ARALIACEAE,Dendropanax,sessiliflorus,Dendropanax sessiliflorus,,,,1998 assessment,,,,,
ARALIACEAE,Oreopanax,anomalus,Oreopanax anomalus,,,,,,,,,
ARALIACEAE,Oreopanax,compactus,Oreopanax compactus,,,,,,,,,
ARALIACEAE,Oreopanax,donnell-smithii,Oreopanax donnell-smithii,,,,,,,,,
ARALIACEAE,Oreopanax,nubigenus,Oreopanax nubigenus,,,,,,,,,
ARALIACEAE,Oreopanax,paramicola,Oreopanax paramicola,,,,,,,,,
ARALIACEAE,Oreopanax,pycnocarpus,Oreopanax pycnocarpus,,,,,,,,,
ARALIACEAE,Oreopanax,standleyi,Oreopanax standleyi,,,,,,,,,
ARALIACEAE,Oreopanax,striatus,Oreopanax striatus,,,,,,,,,
ARALIACEAE,Schefflera,albocapitata,Schefflera albocapitata,,,,,,,,,
ARALIACEAE,Schefflera,brenesii,Schefflera brenesii,,,,1998 assessment,,,,,
ARALIACEAE,Schefflera,cartagoensis,Schefflera cartagoensis,,,,,,,,,
ARALIACEAE,Schefflera,epiphytica,Schefflera epiphytica,,,,,,,,,
ARALIACEAE,Schefflera,instita,Schefflera instita,,,,,,,,,
ARALIACEAE,Schefflera,minutiflora,Schefflera minutiflora,,,,,,,,,
ARALIACEAE,Schefflera,nicaraguensis,Schefflera nicaraguensis,,,,,,,,,
ARALIACEAE,Schefflera,pubens,Schefflera pubens,,,,,,,,,
ARALIACEAE,Schefflera,seibertii,Schefflera seibertii,,,,1998 assessment,,,,,
ARECACEAE,Aiphanes,hirsuta,Aiphanes hirsuta,,,,1998 assessment,,,,,
ARECACEAE,Astrocaryum,alatum,Astrocaryum alatum,,,,1998 assessment,,,,,
ARECACEAE,Astrocaryum,confertum,Astrocaryum confertum,,,,,,,,,
ARECACEAE,Astrocaryum,standleyanum,Astrocaryum standleyanum,,,,,,,,,
ARECACEAE,Bactris,caudata,Bactris caudata,,,,,,,,,
ARECACEAE,Bactris,glandulosa,Bactris glandulosa,,,,,,,,,
ARECACEAE,Bactris,herrerana,Bactris herrerana,,,,,,,,,
ARECACEAE,Bactris,longiseta,Bactris longiseta,,,,1998 assessment,,,,,
ARECACEAE,Bactris,militaris,Bactris militaris,,,,,,,,,
ARECACEAE,Bactris,polystachya,Bactris polystachya,,,,,,,,,
ARECACEAE,Chamaedorea,deckeriana,Chamaedorea deckeriana,,,,,,,,,
ARECACEAE,Colpothrinax,aphanopetala,Colpothrinax aphanopetala,,,,,,,,,
ARECACEAE,Cryosophila,cookii,Cryosophila cookii,,,,1998 assessment,,,,,
ARECACEAE,Cryosophila,grayumii,Cryosophila grayumii,,,,1998 assessment,,,,,
ARECACEAE,Cryosophila,guagara,Cryosophila guagara,,,,1998 assessment,,,,,
ARECACEAE,Geonoma,ferruginea,Geonoma ferruginea,LC,,,BGCI workflow,,,,,
ARECACEAE,Geonoma,congesta,Geonoma congesta,,,,,,,,,
ARECACEAE,Geonoma,longivaginata,Geonoma longivaginata,,,,,,,,,
ARECACEAE,Geonoma,orbignyana,Geonoma orbignyana,,,,,,,,,
ARECACEAE,Pholidostachys,pulchra,Pholidostachys pulchra,,,,,,,,,
ARECACEAE,Reinhardtia,koschnyana,Reinhardtia koschnyana,CR,A2ac,,Palm group added information,,,,,
